Iteration,Model Pairing,Method Name,Stealing Dataset Size,Accuracy,Original Model Accuracy,Parameter Count,Attack duration
1,MultiRocket-LSTM,Probabilistic CopycatCNN,10,0.36946564885496186,0.9962121212121212,233226,1.0690162181854248
1,MultiRocket-LSTM,Argmax CopycatCNN,10,0.39083969465648855,0.9962121212121212,233226,0.3576676845550537
1,MultiRocket-LSTM,Adaptive KnockoffNets,10,0.19618320610687023,0.9962121212121212,233226,0.26883387565612793
1,MultiRocket-LSTM,Probabilistic CopycatCNN,13,0.3152257077276205,0.9962121212121212,233226,0.22889089584350586
1,MultiRocket-LSTM,Argmax CopycatCNN,13,0.45141545524100996,0.9962121212121212,233226,0.23300719261169434
1,MultiRocket-LSTM,Adaptive KnockoffNets,13,0.27314460596786533,0.9962121212121212,233226,0.27165961265563965
1,MultiRocket-LSTM,Probabilistic CopycatCNN,66,0.18819776714513556,0.9962121212121212,233226,0.5876212120056152
1,MultiRocket-LSTM,Argmax CopycatCNN,66,0.27910685805422647,0.9962121212121212,233226,0.7238647937774658
1,MultiRocket-LSTM,Adaptive KnockoffNets,66,0.22567783094098884,0.9962121212121212,233226,1.1005189418792725
1,MultiRocket-LSTM,Probabilistic CopycatCNN,132,0.5311447811447811,0.9962121212121212,233226,1.343238115310669
1,MultiRocket-LSTM,Argmax CopycatCNN,132,0.10942760942760943,0.9962121212121212,233226,1.234635353088379
1,MultiRocket-LSTM,Adaptive KnockoffNets,132,0.563973063973064,0.9962121212121212,233226,1.4627656936645508
1,MultiRocket-LSTM,Probabilistic CopycatCNN,198,0.6648841354723708,0.9962121212121212,233226,1.7038836479187012
1,MultiRocket-LSTM,Argmax CopycatCNN,198,0.6140819964349377,0.9962121212121212,233226,1.9764349460601807
1,MultiRocket-LSTM,Adaptive KnockoffNets,198,0.7700534759358288,0.9962121212121212,233226,2.786151170730591
1,MultiRocket-LSTM,Probabilistic CopycatCNN,264,0.8323863636363636,0.9962121212121212,233226,2.487338066101074
1,MultiRocket-LSTM,Argmax CopycatCNN,264,0.8399621212121212,0.9962121212121212,233226,1.8764877319335938
1,MultiRocket-LSTM,Adaptive KnockoffNets,264,0.7926136363636364,0.9962121212121212,233226,2.946467399597168
1,MultiRocket-LSTM,Probabilistic CopycatCNN,330,0.8919191919191919,0.9962121212121212,233226,2.5041801929473877
1,MultiRocket-LSTM,Argmax CopycatCNN,330,0.8555555555555555,0.9962121212121212,233226,2.301146984100342
