Iteration,Defence,Model Pairing,Method Name,Stealing Dataset Size,Stolen Model Accuracy,Original Model Accuracy,Protected Model Accuracy
1,GaussianNoise,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),10,0.38194020744356316,0.9939357186173439,0.9939357186173439
1,GaussianNoise,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),10,0.4612568639414277,0.9939357186173439,0.9939357186173439
1,GaussianNoise,MultiRocket-LSTM,KnockoffNets (vs. Protected),10,0.28248932275777916,0.9939357186173439,0.9939357186173439
1,GaussianNoise,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),16,0.5352112676056338,0.9939357186173439,0.9939357186173439
1,GaussianNoise,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),16,0.5333741579914268,0.9939357186173439,0.9939357186173439
1,GaussianNoise,MultiRocket-LSTM,KnockoffNets (vs. Protected),16,0.5437844458052664,0.9939357186173439,0.9939357186173439
1,GaussianNoise,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),82,0.7026164645820038,0.9939357186173439,0.9939357186173439
1,GaussianNoise,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),82,0.7262284620293554,0.9939357186173439,0.9939357186173439
1,GaussianNoise,MultiRocket-LSTM,KnockoffNets (vs. Protected),82,0.7198468410976387,0.9939357186173439,0.9939357186173439
1,GaussianNoise,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),164,0.7804713804713804,0.9939357186173439,0.9939357186173439
1,GaussianNoise,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),164,0.8087542087542088,0.9939357186173439,0.9939357186173439
1,GaussianNoise,MultiRocket-LSTM,KnockoffNets (vs. Protected),164,0.7878787878787878,0.9939357186173439,0.9939357186173439
1,GaussianNoise,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),247,0.8587731811697575,0.9939357186173439,0.9939357186173439
1,GaussianNoise,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),247,0.8666191155492154,0.9939357186173439,0.9939357186173439
1,GaussianNoise,MultiRocket-LSTM,KnockoffNets (vs. Protected),247,0.8452211126961484,0.9939357186173439,0.9939357186173439
1,GaussianNoise,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),329,0.8878787878787879,0.9939357186173439,0.9939357186173439
1,GaussianNoise,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),329,0.8871212121212121,0.9939357186173439,0.9939357186173439
1,GaussianNoise,MultiRocket-LSTM,KnockoffNets (vs. Protected),329,0.8386363636363636,0.9939357186173439,0.9939357186173439
1,GaussianNoise,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),412,0.9094583670169766,0.9939357186173439,0.9939357186173439
1,GaussianNoise,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),412,0.9143088116410671,0.9939357186173439,0.9939357186173439
1,GaussianNoise,MultiRocket-LSTM,KnockoffNets (vs. Protected),412,0.8965238480194018,0.9939357186173439,0.9939357186173439
1,GaussianNoise,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),494,0.9307359307359307,0.9939357186173439,0.9939357186173439
1,GaussianNoise,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),494,0.9212121212121213,0.9939357186173439,0.9939357186173439
1,GaussianNoise,MultiRocket-LSTM,KnockoffNets (vs. Protected),494,0.9341991341991343,0.9939357186173439,0.9939357186173439
1,GaussianNoise,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),577,0.9682835820895522,0.9939357186173439,0.9939357186173439
1,GaussianNoise,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),577,0.9692164179104478,0.9939357186173439,0.9939357186173439
1,GaussianNoise,MultiRocket-LSTM,KnockoffNets (vs. Protected),577,0.960820895522388,0.9939357186173439,0.9939357186173439
1,GaussianNoise,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),659,0.9707070707070707,0.9939357186173439,0.9939357186173439
1,GaussianNoise,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),659,0.9707070707070707,0.9939357186173439,0.9939357186173439
