Iteration,Defence,Model Pairing,Method Name,Stealing Dataset Size,Stolen Model Accuracy,Original Model Accuracy,Protected Model Accuracy
1,TotalVarMin,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),10,0.3465527760829774,0.9939357186173439,0.9939357186173439
1,TotalVarMin,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),10,0.3520439292251373,0.9939357186173439,0.9939357186173439
1,TotalVarMin,MultiRocket-LSTM,KnockoffNets (vs. Protected),10,0.3221476510067114,0.9939357186173439,0.9939357186173439
1,TotalVarMin,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),16,0.35639926515615433,0.9939357186173439,0.9939357186173439
1,TotalVarMin,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),16,0.3986527862829149,0.9939357186173439,0.9939357186173439
1,TotalVarMin,MultiRocket-LSTM,KnockoffNets (vs. Protected),16,0.3466013472137171,0.9939357186173439,0.9939357186173439
1,TotalVarMin,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),82,0.5679642629227823,0.9939357186173439,0.9939357186173439
1,TotalVarMin,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),82,0.582003828972559,0.9939357186173439,0.9939357186173439
1,TotalVarMin,MultiRocket-LSTM,KnockoffNets (vs. Protected),82,0.5322271857051691,0.9939357186173439,0.9939357186173439
1,TotalVarMin,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),164,0.6855218855218855,0.9939357186173439,0.9939357186173439
1,TotalVarMin,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),164,0.7117845117845117,0.9939357186173439,0.9939357186173439
1,TotalVarMin,MultiRocket-LSTM,KnockoffNets (vs. Protected),164,0.7117845117845117,0.9939357186173439,0.9939357186173439
1,TotalVarMin,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),247,0.738944365192582,0.9939357186173439,0.9939357186173439
1,TotalVarMin,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),247,0.7503566333808844,0.9939357186173439,0.9939357186173439
1,TotalVarMin,MultiRocket-LSTM,KnockoffNets (vs. Protected),247,0.7589158345221113,0.9939357186173439,0.9939357186173439
1,TotalVarMin,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),329,0.7977272727272727,0.9939357186173439,0.9939357186173439
1,TotalVarMin,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),329,0.8681818181818182,0.9939357186173439,0.9939357186173439
1,TotalVarMin,MultiRocket-LSTM,KnockoffNets (vs. Protected),329,0.8704545454545455,0.9939357186173439,0.9939357186173439
1,TotalVarMin,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),412,0.8811641067097817,0.9939357186173439,0.9939357186173439
1,TotalVarMin,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),412,0.8908649959579629,0.9939357186173439,0.9939357186173439
1,TotalVarMin,MultiRocket-LSTM,KnockoffNets (vs. Protected),412,0.8868229587712207,0.9939357186173439,0.9939357186173439
1,TotalVarMin,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),494,0.8831168831168831,0.9939357186173439,0.9939357186173439
1,TotalVarMin,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),494,0.9238095238095239,0.9939357186173439,0.9939357186173439
1,TotalVarMin,MultiRocket-LSTM,KnockoffNets (vs. Protected),494,0.9134199134199135,0.9939357186173439,0.9939357186173439
1,TotalVarMin,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),577,0.9533582089552238,0.9939357186173439,0.9939357186173439
1,TotalVarMin,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),577,0.9589552238805971,0.9939357186173439,0.9939357186173439
1,TotalVarMin,MultiRocket-LSTM,KnockoffNets (vs. Protected),577,0.9552238805970149,0.9939357186173439,0.9939357186173439
1,TotalVarMin,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),659,0.9292929292929293,0.9939357186173439,0.9939357186173439
1,TotalVarMin,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),659,0.9595959595959596,0.9939357186173439,0.9939357186173439
1,TotalVarMin,MultiRocket-LSTM,KnockoffNets (vs. Protected),659,0.9292929292929293,0.9939357186173439,0.9939357186173439
1,TotalVarMin,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),742,0.958103638368247,0.9939357186173439,0.9939357186173439
1,TotalVarMin,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),742,0.9680264608599779,0.9939357186173439,0.9939357186173439
1,TotalVarMin,MultiRocket-LSTM,KnockoffNets (vs. Protected),742,0.9492833517089305,0.9939357186173439,0.9939357186173439
1,TotalVarMin,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),824,0.9696969696969697,0.9939357186173439,0.9939357186173439
1,TotalVarMin,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),824,0.9721212121212122,0.9939357186173439,0.9939357186173439
1,TotalVarMin,MultiRocket-LSTM,KnockoffNets (vs. Protected),824,0.9684848484848485,0.9939357186173439,0.9939357186173439
1,TotalVarMin,MiniRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),10,0.3282489322757779,0.9927228623408126,0.9927228623408126
1,TotalVarMin,MiniRocket-LSTM,Argmax CopycatCNN (vs. Protected),10,0.3410616229408176,0.9927228623408126,0.9927228623408126
1,TotalVarMin,MiniRocket-LSTM,KnockoffNets (vs. Protected),10,0.34777303233679074,0.9927228623408126,0.9927228623408126
1,TotalVarMin,MiniRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),16,0.29210042865891,0.9927228623408126,0.9927228623408126
1,TotalVarMin,MiniRocket-LSTM,Argmax CopycatCNN (vs. Protected),16,0.29393753827311697,0.9927228623408126,0.9927228623408126
1,TotalVarMin,MiniRocket-LSTM,KnockoffNets (vs. Protected),16,0.31720759338640536,0.9927228623408126,0.9927228623408126
1,TotalVarMin,MiniRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),82,0.48181238034460755,0.9927228623408126,0.9927228623408126
1,TotalVarMin,MiniRocket-LSTM,Argmax CopycatCNN (vs. Protected),82,0.5239310784939375,0.9927228623408126,0.9927228623408126
1,TotalVarMin,MiniRocket-LSTM,KnockoffNets (vs. Protected),82,0.5411614550095725,0.9927228623408126,0.9927228623408126
1,TotalVarMin,MiniRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),164,0.7003367003367004,0.9927228623408126,0.9927228623408126
1,TotalVarMin,MiniRocket-LSTM,Argmax CopycatCNN (vs. Protected),164,0.7838383838383839,0.9927228623408126,0.9927228623408126
1,TotalVarMin,MiniRocket-LSTM,KnockoffNets (vs. Protected),164,0.7710437710437711,0.9927228623408126,0.9927228623408126
1,TotalVarMin,MiniRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),247,0.8395149786019972,0.9927228623408126,0.9927228623408126
1,TotalVarMin,MiniRocket-LSTM,Argmax CopycatCNN (vs. Protected),247,0.8495007132667618,0.9927228623408126,0.9927228623408126
1,TotalVarMin,MiniRocket-LSTM,KnockoffNets (vs. Protected),247,0.8530670470756063,0.9927228623408126,0.9927228623408126
1,TotalVarMin,MiniRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),329,0.8977272727272727,0.9927228623408126,0.9927228623408126
1,TotalVarMin,MiniRocket-LSTM,Argmax CopycatCNN (vs. Protected),329,0.8946969696969697,0.9927228623408126,0.9927228623408126
1,TotalVarMin,MiniRocket-LSTM,KnockoffNets (vs. Protected),329,0.8962121212121212,0.9927228623408126,0.9927228623408126
1,TotalVarMin,MiniRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),412,0.9385610347615198,0.9927228623408126,0.9927228623408126
1,TotalVarMin,MiniRocket-LSTM,Argmax CopycatCNN (vs. Protected),412,0.9393694421988682,0.9927228623408126,0.9927228623408126
1,TotalVarMin,MiniRocket-LSTM,KnockoffNets (vs. Protected),412,0.9264349232012935,0.9927228623408126,0.9927228623408126
1,TotalVarMin,MiniRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),494,0.9593073593073593,0.9927228623408126,0.9927228623408126
1,TotalVarMin,MiniRocket-LSTM,Argmax CopycatCNN (vs. Protected),494,0.9593073593073593,0.9927228623408126,0.9927228623408126
1,TotalVarMin,MiniRocket-LSTM,KnockoffNets (vs. Protected),494,0.9411255411255411,0.9927228623408126,0.9927228623408126
1,TotalVarMin,MiniRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),577,0.9552238805970149,0.9927228623408126,0.9927228623408126
1,TotalVarMin,MiniRocket-LSTM,Argmax CopycatCNN (vs. Protected),577,0.960820895522388,0.9927228623408126,0.9927228623408126
