Percentage Generated Data,Iteration,Model Pairing,Method Name,Num Real Samples,Num Generated Samples,Accuracy,Original Model Accuracy
0.4,1,MultiRocket-LSTM,Probabilistic CopycatCNN,1,0,0.09338993329290479,0.9939357186173439
0.4,1,MultiRocket-LSTM,Argmax CopycatCNN,1,0,0.09338993329290479,0.9939357186173439
0.4,1,MultiRocket-LSTM,Adaptive KnockoffNets,1,0,0.10612492419648271,0.9939357186173439
0.4,1,MultiRocket-LSTM,Probabilistic CopycatCNN,5,3,0.2710733778047301,0.9939357186173439
0.4,1,MultiRocket-LSTM,Argmax CopycatCNN,5,3,0.25833838690115224,0.9939357186173439
0.4,1,MultiRocket-LSTM,Adaptive KnockoffNets,5,3,0.2692540933899333,0.9939357186173439
0.4,1,MultiRocket-LSTM,Probabilistic CopycatCNN,10,6,0.3086719223771983,0.9939357186173439
0.4,1,MultiRocket-LSTM,Argmax CopycatCNN,10,6,0.33414190418435413,0.9939357186173439
0.4,1,MultiRocket-LSTM,Adaptive KnockoffNets,10,6,0.2935112189205579,0.9939357186173439
0.4,1,MultiRocket-LSTM,Probabilistic CopycatCNN,50,32,0.4408732565191025,0.9939357186173439
0.4,1,MultiRocket-LSTM,Argmax CopycatCNN,50,32,0.46573681018799273,0.9939357186173439
0.4,1,MultiRocket-LSTM,Adaptive KnockoffNets,50,32,0.47725894481503944,0.9939357186173439
0.4,1,MultiRocket-LSTM,Probabilistic CopycatCNN,99,65,0.7174044875682232,0.9939357186173439
0.4,1,MultiRocket-LSTM,Argmax CopycatCNN,99,65,0.7313523347483323,0.9939357186173439
0.4,1,MultiRocket-LSTM,Adaptive KnockoffNets,99,65,0.7422680412371134,0.9939357186173439
0.4,1,MultiRocket-LSTM,Probabilistic CopycatCNN,149,98,0.8223165554881746,0.9939357186173439
0.4,1,MultiRocket-LSTM,Argmax CopycatCNN,149,98,0.8259551243177683,0.9939357186173439
0.4,1,MultiRocket-LSTM,Adaptive KnockoffNets,149,98,0.8162522741055185,0.9939357186173439
0.4,1,MultiRocket-LSTM,Probabilistic CopycatCNN,198,131,0.8653729533050334,0.9939357186173439
0.4,1,MultiRocket-LSTM,Argmax CopycatCNN,198,131,0.8726500909642207,0.9939357186173439
0.4,1,MultiRocket-LSTM,Adaptive KnockoffNets,198,131,0.8617343844754397,0.9939357186173439
0.4,1,MultiRocket-LSTM,Probabilistic CopycatCNN,248,164,0.8781079442086113,0.9939357186173439
0.4,1,MultiRocket-LSTM,Argmax CopycatCNN,248,164,0.8793208004851425,0.9939357186173439
0.4,1,MultiRocket-LSTM,Adaptive KnockoffNets,248,164,0.8441479684657368,0.9939357186173439
0.4,1,MultiRocket-LSTM,Probabilistic CopycatCNN,297,197,0.8787143723468769,0.9939357186173439
0.4,1,MultiRocket-LSTM,Argmax CopycatCNN,297,197,0.8902365069739235,0.9939357186173439
0.4,1,MultiRocket-LSTM,Adaptive KnockoffNets,297,197,0.8635536688902365,0.9939357186173439
0.4,1,MultiRocket-LSTM,Probabilistic CopycatCNN,347,230,0.908429351121892,0.9939357186173439
0.4,1,MultiRocket-LSTM,Argmax CopycatCNN,347,230,0.9157064887810794,0.9939357186173439
0.4,1,MultiRocket-LSTM,Adaptive KnockoffNets,347,230,0.9035779260157671,0.9939357186173439
0.4,1,MultiRocket-LSTM,Probabilistic CopycatCNN,396,263,0.9205579138872043,0.9939357186173439
0.4,1,MultiRocket-LSTM,Argmax CopycatCNN,396,263,0.9193450576106731,0.9939357186173439
