Noise Level,Iteration,Model Pairing,Method Name,Stealing Dataset Size,Accuracy,Original Model Accuracy
0.6,1,MultiRocket-LSTM,Probabilistic CopycatCNN,10,0.16900549115314217,0.9939357186173439
0.6,1,MultiRocket-LSTM,Argmax CopycatCNN,10,0.17510677242220865,0.9939357186173439
0.6,1,MultiRocket-LSTM,Adaptive KnockoffNets,10,0.12568639414276997,0.9939357186173439
0.6,1,MultiRocket-LSTM,Probabilistic CopycatCNN,16,0.2106552357624005,0.9939357186173439
0.6,1,MultiRocket-LSTM,Argmax CopycatCNN,16,0.2112676056338028,0.9939357186173439
0.6,1,MultiRocket-LSTM,Adaptive KnockoffNets,16,0.22290263319044704,0.9939357186173439
0.6,1,MultiRocket-LSTM,Probabilistic CopycatCNN,82,0.19591576260370133,0.9939357186173439
0.6,1,MultiRocket-LSTM,Argmax CopycatCNN,82,0.22463305679642628,0.9939357186173439
0.6,1,MultiRocket-LSTM,Adaptive KnockoffNets,82,0.2169751116783663,0.9939357186173439
0.6,1,MultiRocket-LSTM,Probabilistic CopycatCNN,164,0.22693602693602694,0.9939357186173439
0.6,1,MultiRocket-LSTM,Argmax CopycatCNN,164,0.23703703703703705,0.9939357186173439
0.6,1,MultiRocket-LSTM,Adaptive KnockoffNets,164,0.24511784511784512,0.9939357186173439
0.6,1,MultiRocket-LSTM,Probabilistic CopycatCNN,247,0.26676176890156916,0.9939357186173439
0.6,1,MultiRocket-LSTM,Argmax CopycatCNN,247,0.28530670470756064,0.9939357186173439
0.6,1,MultiRocket-LSTM,Adaptive KnockoffNets,247,0.333095577746077,0.9939357186173439
0.6,1,MultiRocket-LSTM,Probabilistic CopycatCNN,329,0.39090909090909093,0.9939357186173439
0.6,1,MultiRocket-LSTM,Argmax CopycatCNN,329,0.3712121212121212,0.9939357186173439
0.6,1,MultiRocket-LSTM,Adaptive KnockoffNets,329,0.40454545454545454,0.9939357186173439
0.6,1,MultiRocket-LSTM,Probabilistic CopycatCNN,412,0.5004042037186742,0.9939357186173439
0.6,1,MultiRocket-LSTM,Argmax CopycatCNN,412,0.5440582053354891,0.9939357186173439
0.6,1,MultiRocket-LSTM,Adaptive KnockoffNets,412,0.48181083265966046,0.9939357186173439
0.6,1,MultiRocket-LSTM,Probabilistic CopycatCNN,494,0.580952380952381,0.9939357186173439
0.6,1,MultiRocket-LSTM,Argmax CopycatCNN,494,0.5800865800865801,0.9939357186173439
0.6,1,MultiRocket-LSTM,Adaptive KnockoffNets,494,0.5757575757575758,0.9939357186173439
0.6,1,MultiRocket-LSTM,Probabilistic CopycatCNN,577,0.5652985074626866,0.9939357186173439
0.6,1,MultiRocket-LSTM,Argmax CopycatCNN,577,0.5830223880597015,0.9939357186173439
0.6,1,MultiRocket-LSTM,Adaptive KnockoffNets,577,0.5373134328358209,0.9939357186173439
0.6,1,MultiRocket-LSTM,Probabilistic CopycatCNN,659,0.6464646464646465,0.9939357186173439
0.6,1,MultiRocket-LSTM,Argmax CopycatCNN,659,0.6181818181818182,0.9939357186173439
0.6,1,MultiRocket-LSTM,Adaptive KnockoffNets,659,0.5868686868686869,0.9939357186173439
0.6,1,MultiRocket-LSTM,Probabilistic CopycatCNN,742,0.5997794928335171,0.9939357186173439
0.6,1,MultiRocket-LSTM,Argmax CopycatCNN,742,0.5843439911797134,0.9939357186173439
0.6,1,MultiRocket-LSTM,Adaptive KnockoffNets,742,0.6152149944873209,0.9939357186173439
0.6,1,MultiRocket-LSTM,Probabilistic CopycatCNN,824,0.6606060606060606,0.9939357186173439
0.6,1,MultiRocket-LSTM,Argmax CopycatCNN,824,0.6496969696969697,0.9939357186173439
0.6,1,MultiRocket-LSTM,Adaptive KnockoffNets,824,0.6533333333333333,0.9939357186173439
0.6,1,MiniRocket-LSTM,Probabilistic CopycatCNN,10,0.2141549725442343,0.9909035779260158
0.6,1,MiniRocket-LSTM,Argmax CopycatCNN,10,0.2812690665039658,0.9909035779260158
0.6,1,MiniRocket-LSTM,Adaptive KnockoffNets,10,0.326418547895058,0.9909035779260158
