Defence,Noise Level,Iteration,Model Pairing,Method Name,Real Samples,Generated Samples,Noised Samples,Stolen Model Accuracy,Original Model Accuracy,Protected Model Accuracy
GaussianNoise,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,4,3,3,0.17889630078835658,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,4,3,3,0.2704669496664645,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,4,3,3,0.3020012128562765,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,4,3,3,0.296543359611886,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,4,3,3,0.35112189205579136,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,4,3,3,0.3383869011522135,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,6,5,5,0.39660400242571253,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,6,5,5,0.4050939963614312,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,6,5,5,0.3959975742874469,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,28,27,27,0.5518496058217102,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,28,27,27,0.5803517283201941,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,28,27,27,0.5888417222559127,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,56,54,54,0.6731352334748333,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,56,54,54,0.7004244996967859,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,56,54,54,0.6913280776228017,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,85,81,81,0.7161916312916919,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,85,81,81,0.7568223165554882,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,85,81,81,0.7604608853850818,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,113,108,108,0.8253486961795027,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,113,108,108,0.8204972710733778,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,113,108,108,0.8132201334141904,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,142,135,135,0.8447543966040024,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,142,135,135,0.8441479684657368,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,142,135,135,0.8356579745300182,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,168,163,163,0.845360824742268,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,168,163,163,0.8368708308065494,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,168,163,163,0.8241358399029715,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,197,190,190,0.8611279563371741,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,197,190,190,0.865979381443299,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,197,190,190,0.8677986658580958,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,225,217,217,0.8932686476652517,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,225,217,217,0.9138872043662826,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,225,217,217,0.9151000606428138,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,254,244,244,0.9199514857489387,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,254,244,244,0.9223771983020013,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,254,244,244,0.9169193450576106,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,282,271,271,0.9351121892055791,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,282,271,271,0.9296543359611886,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,282,271,271,0.916312916919345,0.9939357186173439,0.9939357186173439
GaussianNoise,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,4,3,3,0.27349909035779263,0.9927228623408126,0.9927228623408126
