Iteration,Defence,Model Pairing,Method Name,Stealing Dataset Size,Stolen Model Accuracy,Original Model Accuracy,Protected Model Accuracy
1,GaussianNoise,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),10,0.43282442748091604,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),10,0.4198473282442748,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MultiRocket-LSTM,KnockoffNets (vs. Protected),10,0.36259541984732824,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),13,0.3703136954858455,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),13,0.4070390206579954,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MultiRocket-LSTM,KnockoffNets (vs. Protected),13,0.15837796480489671,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),66,0.24720893141945774,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),66,0.09569377990430622,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MultiRocket-LSTM,KnockoffNets (vs. Protected),66,0.22169059011164274,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),132,0.5462962962962963,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),132,0.7079124579124579,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MultiRocket-LSTM,KnockoffNets (vs. Protected),132,0.17087542087542087,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),198,0.7388591800356507,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),198,0.7691622103386809,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MultiRocket-LSTM,KnockoffNets (vs. Protected),198,0.7691622103386809,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),264,0.8475378787878788,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),264,0.8238636363636364,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MultiRocket-LSTM,KnockoffNets (vs. Protected),264,0.8172348484848485,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),330,0.8828282828282829,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),330,0.8868686868686869,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MultiRocket-LSTM,KnockoffNets (vs. Protected),330,0.8484848484848485,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),396,0.8841991341991342,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),396,0.9047619047619048,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MultiRocket-LSTM,KnockoffNets (vs. Protected),396,0.8712121212121212,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),461,0.9115250291036089,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),461,0.9208381839348079,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MultiRocket-LSTM,KnockoffNets (vs. Protected),461,0.889406286379511,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),528,0.9419191919191919,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),528,0.9393939393939394,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MultiRocket-LSTM,KnockoffNets (vs. Protected),528,0.9053030303030303,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),594,0.9421487603305785,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),594,0.9421487603305785,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MultiRocket-LSTM,KnockoffNets (vs. Protected),594,0.8980716253443526,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),660,0.9621212121212122,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),660,0.9515151515151515,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MultiRocket-LSTM,KnockoffNets (vs. Protected),660,0.9257575757575758,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MiniRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),10,0.3465648854961832,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MiniRocket-LSTM,Argmax CopycatCNN (vs. Protected),10,0.34580152671755726,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MiniRocket-LSTM,KnockoffNets (vs. Protected),10,0.29236641221374043,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MiniRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),13,0.36648814078041314,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MiniRocket-LSTM,Argmax CopycatCNN (vs. Protected),13,0.3473603672532517,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MiniRocket-LSTM,KnockoffNets (vs. Protected),13,0.34506503442999237,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MiniRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),66,0.2607655502392344,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MiniRocket-LSTM,Argmax CopycatCNN (vs. Protected),66,0.19457735247208932,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MiniRocket-LSTM,KnockoffNets (vs. Protected),66,0.3269537480063796,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MiniRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),132,0.3442760942760943,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MiniRocket-LSTM,Argmax CopycatCNN (vs. Protected),132,0.5757575757575758,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MiniRocket-LSTM,KnockoffNets (vs. Protected),132,0.5260942760942761,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MiniRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),198,0.7040998217468806,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MiniRocket-LSTM,Argmax CopycatCNN (vs. Protected),198,0.7335115864527629,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MiniRocket-LSTM,KnockoffNets (vs. Protected),198,0.47058823529411764,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MiniRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),264,0.8077651515151515,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MiniRocket-LSTM,Argmax CopycatCNN (vs. Protected),264,0.8399621212121212,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MiniRocket-LSTM,KnockoffNets (vs. Protected),264,0.7035984848484849,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MiniRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),330,0.8868686868686869,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MiniRocket-LSTM,Argmax CopycatCNN (vs. Protected),330,0.898989898989899,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MiniRocket-LSTM,KnockoffNets (vs. Protected),330,0.8525252525252526,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MiniRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),396,0.9123376623376623,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MiniRocket-LSTM,Argmax CopycatCNN (vs. Protected),396,0.9069264069264069,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MiniRocket-LSTM,KnockoffNets (vs. Protected),396,0.8874458874458875,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MiniRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),461,0.9383003492433062,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MiniRocket-LSTM,Argmax CopycatCNN (vs. Protected),461,0.9441210710128056,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MiniRocket-LSTM,KnockoffNets (vs. Protected),461,0.8323632130384168,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MiniRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),528,0.9583333333333334,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MiniRocket-LSTM,Argmax CopycatCNN (vs. Protected),528,0.9532828282828283,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MiniRocket-LSTM,KnockoffNets (vs. Protected),528,0.9267676767676768,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MiniRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),594,0.9669421487603306,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MiniRocket-LSTM,Argmax CopycatCNN (vs. Protected),594,0.9573002754820936,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MiniRocket-LSTM,KnockoffNets (vs. Protected),594,0.9338842975206612,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MiniRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),660,0.9590909090909091,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MiniRocket-LSTM,Argmax CopycatCNN (vs. Protected),660,0.9712121212121212,0.9962121212121212,0.9962121212121212
1,GaussianNoise,MiniRocket-LSTM,KnockoffNets (vs. Protected),660,0.9484848484848485,0.9962121212121212,0.9962121212121212
1,GaussianNoise,Rocket-LSTM,Probabilistic CopycatCNN (vs. Protected),10,0.3435114503816794,0.9977272727272727,0.9977272727272727
1,GaussianNoise,Rocket-LSTM,Argmax CopycatCNN (vs. Protected),10,0.3564885496183206,0.9977272727272727,0.9977272727272727
1,GaussianNoise,Rocket-LSTM,KnockoffNets (vs. Protected),10,0.28473282442748094,0.9977272727272727,0.9977272727272727
1,GaussianNoise,Rocket-LSTM,Probabilistic CopycatCNN (vs. Protected),13,0.26243305279265494,0.9977272727272727,0.9977272727272727
1,GaussianNoise,Rocket-LSTM,Argmax CopycatCNN (vs. Protected),13,0.30527926549349654,0.9977272727272727,0.9977272727272727
1,GaussianNoise,Rocket-LSTM,KnockoffNets (vs. Protected),13,0.19892884468247896,0.9977272727272727,0.9977272727272727
1,GaussianNoise,Rocket-LSTM,Probabilistic CopycatCNN (vs. Protected),66,0.19457735247208932,0.9977272727272727,0.9977272727272727
1,GaussianNoise,Rocket-LSTM,Argmax CopycatCNN (vs. Protected),66,0.145933014354067,0.9977272727272727,0.9977272727272727
1,GaussianNoise,Rocket-LSTM,KnockoffNets (vs. Protected),66,0.27352472089314195,0.9977272727272727,0.9977272727272727
1,GaussianNoise,Rocket-LSTM,Probabilistic CopycatCNN (vs. Protected),132,0.5117845117845118,0.9977272727272727,0.9977272727272727
1,GaussianNoise,Rocket-LSTM,Argmax CopycatCNN (vs. Protected),132,0.51010101010101,0.9977272727272727,0.9977272727272727
1,GaussianNoise,Rocket-LSTM,KnockoffNets (vs. Protected),132,0.5606060606060606,0.9977272727272727,0.9977272727272727
1,GaussianNoise,Rocket-LSTM,Probabilistic CopycatCNN (vs. Protected),198,0.7103386809269162,0.9977272727272727,0.9977272727272727
1,GaussianNoise,Rocket-LSTM,Argmax CopycatCNN (vs. Protected),198,0.7219251336898396,0.9977272727272727,0.9977272727272727
1,GaussianNoise,Rocket-LSTM,KnockoffNets (vs. Protected),198,0.5935828877005348,0.9977272727272727,0.9977272727272727
1,GaussianNoise,Rocket-LSTM,Probabilistic CopycatCNN (vs. Protected),264,0.8418560606060606,0.9977272727272727,0.9977272727272727
1,GaussianNoise,Rocket-LSTM,Argmax CopycatCNN (vs. Protected),264,0.8579545454545454,0.9977272727272727,0.9977272727272727
1,GaussianNoise,Rocket-LSTM,KnockoffNets (vs. Protected),264,0.821969696969697,0.9977272727272727,0.9977272727272727
1,GaussianNoise,Rocket-LSTM,Probabilistic CopycatCNN (vs. Protected),330,0.8808080808080808,0.9977272727272727,0.9977272727272727
1,GaussianNoise,Rocket-LSTM,Argmax CopycatCNN (vs. Protected),330,0.8858585858585859,0.9977272727272727,0.9977272727272727
1,GaussianNoise,Rocket-LSTM,KnockoffNets (vs. Protected),330,0.8656565656565657,0.9977272727272727,0.9977272727272727
1,GaussianNoise,Rocket-LSTM,Probabilistic CopycatCNN (vs. Protected),396,0.9090909090909091,0.9977272727272727,0.9977272727272727
1,GaussianNoise,Rocket-LSTM,Argmax CopycatCNN (vs. Protected),396,0.9069264069264069,0.9977272727272727,0.9977272727272727
1,GaussianNoise,Rocket-LSTM,KnockoffNets (vs. Protected),396,0.8668831168831169,0.9977272727272727,0.9977272727272727
1,GaussianNoise,Rocket-LSTM,Probabilistic CopycatCNN (vs. Protected),461,0.919674039580908,0.9977272727272727,0.9977272727272727
1,GaussianNoise,Rocket-LSTM,Argmax CopycatCNN (vs. Protected),461,0.9313154831199069,0.9977272727272727,0.9977272727272727
1,GaussianNoise,Rocket-LSTM,KnockoffNets (vs. Protected),461,0.9045401629802096,0.9977272727272727,0.9977272727272727
1,GaussianNoise,Rocket-LSTM,Probabilistic CopycatCNN (vs. Protected),528,0.952020202020202,0.9977272727272727,0.9977272727272727
