Percentage Generated Data,Iteration,Model Pairing,Method Name,Num Real Samples,Num Generated Samples,Accuracy,Original Model Accuracy
0.5,1,MultiRocket-LSTM,Probabilistic CopycatCNN,1,0,0.10378787878787879,0.9962121212121212
0.5,1,MultiRocket-LSTM,Argmax CopycatCNN,1,0,0.0946969696969697,0.9962121212121212
0.5,1,MultiRocket-LSTM,Adaptive KnockoffNets,1,0,0.11287878787878788,0.9962121212121212
0.5,1,MultiRocket-LSTM,Probabilistic CopycatCNN,3,3,0.10378787878787879,0.9962121212121212
0.5,1,MultiRocket-LSTM,Argmax CopycatCNN,3,3,0.12272727272727273,0.9962121212121212
0.5,1,MultiRocket-LSTM,Adaptive KnockoffNets,3,3,0.10909090909090909,0.9962121212121212
0.5,1,MultiRocket-LSTM,Probabilistic CopycatCNN,7,6,0.271969696969697,0.9962121212121212
0.5,1,MultiRocket-LSTM,Argmax CopycatCNN,7,6,0.27575757575757576,0.9962121212121212
0.5,1,MultiRocket-LSTM,Adaptive KnockoffNets,7,6,0.2446969696969697,0.9962121212121212
0.5,1,MultiRocket-LSTM,Probabilistic CopycatCNN,33,33,0.09924242424242424,0.9962121212121212
0.5,1,MultiRocket-LSTM,Argmax CopycatCNN,33,33,0.20681818181818182,0.9962121212121212
0.5,1,MultiRocket-LSTM,Adaptive KnockoffNets,33,33,0.18333333333333332,0.9962121212121212
0.5,1,MultiRocket-LSTM,Probabilistic CopycatCNN,66,66,0.403030303030303,0.9962121212121212
0.5,1,MultiRocket-LSTM,Argmax CopycatCNN,66,66,0.3462121212121212,0.9962121212121212
0.5,1,MultiRocket-LSTM,Adaptive KnockoffNets,66,66,0.3409090909090909,0.9962121212121212
0.5,1,MultiRocket-LSTM,Probabilistic CopycatCNN,99,99,0.621969696969697,0.9962121212121212
0.5,1,MultiRocket-LSTM,Argmax CopycatCNN,99,99,0.6598484848484848,0.9962121212121212
0.5,1,MultiRocket-LSTM,Adaptive KnockoffNets,99,99,0.42803030303030304,0.9962121212121212
0.5,1,MultiRocket-LSTM,Probabilistic CopycatCNN,132,132,0.41363636363636364,0.9962121212121212
0.5,1,MultiRocket-LSTM,Argmax CopycatCNN,132,132,0.6727272727272727,0.9962121212121212
0.5,1,MultiRocket-LSTM,Adaptive KnockoffNets,132,132,0.7310606060606061,0.9962121212121212
0.5,1,MultiRocket-LSTM,Probabilistic CopycatCNN,165,165,0.7712121212121212,0.9962121212121212
0.5,1,MultiRocket-LSTM,Argmax CopycatCNN,165,165,0.781060606060606,0.9962121212121212
0.5,1,MultiRocket-LSTM,Adaptive KnockoffNets,165,165,0.17196969696969697,0.9962121212121212
0.5,1,MultiRocket-LSTM,Probabilistic CopycatCNN,198,198,0.7916666666666666,0.9962121212121212
0.5,1,MultiRocket-LSTM,Argmax CopycatCNN,198,198,0.7492424242424243,0.9962121212121212
0.5,1,MultiRocket-LSTM,Adaptive KnockoffNets,198,198,0.4583333333333333,0.9962121212121212
0.5,1,MultiRocket-LSTM,Probabilistic CopycatCNN,231,230,0.8196969696969697,0.9962121212121212
0.5,1,MultiRocket-LSTM,Argmax CopycatCNN,231,230,0.7825757575757576,0.9962121212121212
0.5,1,MultiRocket-LSTM,Adaptive KnockoffNets,231,230,0.8507575757575757,0.9962121212121212
0.5,1,MultiRocket-LSTM,Probabilistic CopycatCNN,264,264,0.906060606060606,0.9962121212121212
0.5,1,MultiRocket-LSTM,Argmax CopycatCNN,264,264,0.9151515151515152,0.9962121212121212
0.5,1,MultiRocket-LSTM,Adaptive KnockoffNets,264,264,0.7166666666666667,0.9962121212121212
0.5,1,MultiRocket-LSTM,Probabilistic CopycatCNN,297,297,0.9136363636363637,0.9962121212121212
0.5,1,MultiRocket-LSTM,Argmax CopycatCNN,297,297,0.8287878787878787,0.9962121212121212
0.5,1,MultiRocket-LSTM,Adaptive KnockoffNets,297,297,0.8924242424242425,0.9962121212121212
0.5,1,MultiRocket-LSTM,Probabilistic CopycatCNN,330,330,0.9227272727272727,0.9962121212121212
0.5,1,MultiRocket-LSTM,Argmax CopycatCNN,330,330,0.9371212121212121,0.9962121212121212
