Noise Level,Iteration,Model Pairing,Method Name,Stealing Dataset Size,Accuracy,Original Model Accuracy
0.6,1,MultiRocket-LSTM,Probabilistic CopycatCNN,10,0.10916030534351145,0.9962121212121212
0.6,1,MultiRocket-LSTM,Argmax CopycatCNN,10,0.10916030534351145,0.9962121212121212
0.6,1,MultiRocket-LSTM,Adaptive KnockoffNets,10,0.10916030534351145,0.9962121212121212
0.6,1,MultiRocket-LSTM,Probabilistic CopycatCNN,13,0.0757459831675593,0.9962121212121212
0.6,1,MultiRocket-LSTM,Argmax CopycatCNN,13,0.028309104820198928,0.9962121212121212
0.6,1,MultiRocket-LSTM,Adaptive KnockoffNets,13,0.017597551644988524,0.9962121212121212
0.6,1,MultiRocket-LSTM,Probabilistic CopycatCNN,66,0.10925039872408293,0.9962121212121212
0.6,1,MultiRocket-LSTM,Argmax CopycatCNN,66,0.10925039872408293,0.9962121212121212
0.6,1,MultiRocket-LSTM,Adaptive KnockoffNets,66,0.10925039872408293,0.9962121212121212
0.6,1,MultiRocket-LSTM,Probabilistic CopycatCNN,132,0.10942760942760943,0.9962121212121212
0.6,1,MultiRocket-LSTM,Argmax CopycatCNN,132,0.10942760942760943,0.9962121212121212
0.6,1,MultiRocket-LSTM,Adaptive KnockoffNets,132,0.10942760942760943,0.9962121212121212
0.6,1,MultiRocket-LSTM,Probabilistic CopycatCNN,198,0.11051693404634581,0.9962121212121212
0.6,1,MultiRocket-LSTM,Argmax CopycatCNN,198,0.11051693404634581,0.9962121212121212
0.6,1,MultiRocket-LSTM,Adaptive KnockoffNets,198,0.11051693404634581,0.9962121212121212
0.6,1,MultiRocket-LSTM,Probabilistic CopycatCNN,264,0.10511363636363637,0.9962121212121212
0.6,1,MultiRocket-LSTM,Argmax CopycatCNN,264,0.10511363636363637,0.9962121212121212
0.6,1,MultiRocket-LSTM,Adaptive KnockoffNets,264,0.13825757575757575,0.9962121212121212
0.6,1,MultiRocket-LSTM,Probabilistic CopycatCNN,330,0.10505050505050505,0.9962121212121212
0.6,1,MultiRocket-LSTM,Argmax CopycatCNN,330,0.11515151515151516,0.9962121212121212
0.6,1,MultiRocket-LSTM,Adaptive KnockoffNets,330,0.07676767676767676,0.9962121212121212
0.6,1,MultiRocket-LSTM,Probabilistic CopycatCNN,396,0.11580086580086581,0.9962121212121212
0.6,1,MultiRocket-LSTM,Argmax CopycatCNN,396,0.12012987012987013,0.9962121212121212
0.6,1,MultiRocket-LSTM,Adaptive KnockoffNets,396,0.11580086580086581,0.9962121212121212
0.6,1,MultiRocket-LSTM,Probabilistic CopycatCNN,461,0.11059371362048893,0.9962121212121212
0.6,1,MultiRocket-LSTM,Argmax CopycatCNN,461,0.11059371362048893,0.9962121212121212
0.6,1,MultiRocket-LSTM,Adaptive KnockoffNets,461,0.11059371362048893,0.9962121212121212
0.6,1,MultiRocket-LSTM,Probabilistic CopycatCNN,528,0.11237373737373738,0.9962121212121212
0.6,1,MultiRocket-LSTM,Argmax CopycatCNN,528,0.11237373737373738,0.9962121212121212
0.6,1,MultiRocket-LSTM,Adaptive KnockoffNets,528,0.11868686868686869,0.9962121212121212
0.6,1,MultiRocket-LSTM,Probabilistic CopycatCNN,594,0.128099173553719,0.9962121212121212
0.6,1,MultiRocket-LSTM,Argmax CopycatCNN,594,0.16666666666666666,0.9962121212121212
0.6,1,MultiRocket-LSTM,Adaptive KnockoffNets,594,0.10055096418732783,0.9962121212121212
0.6,1,MultiRocket-LSTM,Probabilistic CopycatCNN,660,0.11212121212121212,0.9962121212121212
0.6,1,MultiRocket-LSTM,Argmax CopycatCNN,660,0.1318181818181818,0.9962121212121212
0.6,1,MultiRocket-LSTM,Adaptive KnockoffNets,660,0.19393939393939394,0.9962121212121212
0.6,1,MiniRocket-LSTM,Probabilistic CopycatCNN,10,0.09465648854961832,0.9954545454545455
0.6,1,MiniRocket-LSTM,Argmax CopycatCNN,10,0.11603053435114503,0.9954545454545455
0.6,1,MiniRocket-LSTM,Adaptive KnockoffNets,10,0.10534351145038168,0.9954545454545455
0.6,1,MiniRocket-LSTM,Probabilistic CopycatCNN,13,0.09793420045906656,0.9954545454545455
0.6,1,MiniRocket-LSTM,Argmax CopycatCNN,13,0.09793420045906656,0.9954545454545455
0.6,1,MiniRocket-LSTM,Adaptive KnockoffNets,13,0.09793420045906656,0.9954545454545455
0.6,1,MiniRocket-LSTM,Probabilistic CopycatCNN,66,0.09808612440191387,0.9954545454545455
0.6,1,MiniRocket-LSTM,Argmax CopycatCNN,66,0.09808612440191387,0.9954545454545455
0.6,1,MiniRocket-LSTM,Adaptive KnockoffNets,66,0.09808612440191387,0.9954545454545455
0.6,1,MiniRocket-LSTM,Probabilistic CopycatCNN,132,0.2138047138047138,0.9954545454545455
0.6,1,MiniRocket-LSTM,Argmax CopycatCNN,132,0.15151515151515152,0.9954545454545455
0.6,1,MiniRocket-LSTM,Adaptive KnockoffNets,132,0.13973063973063973,0.9954545454545455
0.6,1,MiniRocket-LSTM,Probabilistic CopycatCNN,198,0.23707664884135474,0.9954545454545455
0.6,1,MiniRocket-LSTM,Argmax CopycatCNN,198,0.24955436720142601,0.9954545454545455
0.6,1,MiniRocket-LSTM,Adaptive KnockoffNets,198,0.3315508021390374,0.9954545454545455
0.6,1,MiniRocket-LSTM,Probabilistic CopycatCNN,264,0.4659090909090909,0.9954545454545455
0.6,1,MiniRocket-LSTM,Argmax CopycatCNN,264,0.53125,0.9954545454545455
0.6,1,MiniRocket-LSTM,Adaptive KnockoffNets,264,0.5331439393939394,0.9954545454545455
0.6,1,MiniRocket-LSTM,Probabilistic CopycatCNN,330,0.6292929292929293,0.9954545454545455
0.6,1,MiniRocket-LSTM,Argmax CopycatCNN,330,0.6393939393939394,0.9954545454545455
0.6,1,MiniRocket-LSTM,Adaptive KnockoffNets,330,0.598989898989899,0.9954545454545455
0.6,1,MiniRocket-LSTM,Probabilistic CopycatCNN,396,0.6601731601731602,0.9954545454545455
0.6,1,MiniRocket-LSTM,Argmax CopycatCNN,396,0.6212121212121212,0.9954545454545455
0.6,1,MiniRocket-LSTM,Adaptive KnockoffNets,396,0.5238095238095238,0.9954545454545455
0.6,1,MiniRocket-LSTM,Probabilistic CopycatCNN,461,0.6658905704307334,0.9954545454545455
0.6,1,MiniRocket-LSTM,Argmax CopycatCNN,461,0.6554132712456344,0.9954545454545455
0.6,1,MiniRocket-LSTM,Adaptive KnockoffNets,461,0.6041909196740396,0.9954545454545455
0.6,1,MiniRocket-LSTM,Probabilistic CopycatCNN,528,0.6666666666666666,0.9954545454545455
0.6,1,MiniRocket-LSTM,Argmax CopycatCNN,528,0.6818181818181818,0.9954545454545455
0.6,1,MiniRocket-LSTM,Adaptive KnockoffNets,528,0.6578282828282829,0.9954545454545455
0.6,1,MiniRocket-LSTM,Probabilistic CopycatCNN,594,0.7079889807162535,0.9954545454545455
0.6,1,MiniRocket-LSTM,Argmax CopycatCNN,594,0.721763085399449,0.9954545454545455
0.6,1,MiniRocket-LSTM,Adaptive KnockoffNets,594,0.6914600550964187,0.9954545454545455
0.6,1,MiniRocket-LSTM,Probabilistic CopycatCNN,660,0.6984848484848485,0.9954545454545455
0.6,1,MiniRocket-LSTM,Argmax CopycatCNN,660,0.7015151515151515,0.9954545454545455
0.6,1,MiniRocket-LSTM,Adaptive KnockoffNets,660,0.6045454545454545,0.9954545454545455
0.6,1,Rocket-LSTM,Probabilistic CopycatCNN,10,0.38091603053435114,0.9977272727272727
0.6,1,Rocket-LSTM,Argmax CopycatCNN,10,0.4122137404580153,0.9977272727272727
0.6,1,Rocket-LSTM,Adaptive KnockoffNets,10,0.383206106870229,0.9977272727272727
0.6,1,Rocket-LSTM,Probabilistic CopycatCNN,13,0.32517214996174443,0.9977272727272727
0.6,1,Rocket-LSTM,Argmax CopycatCNN,13,0.46748278500382556,0.9977272727272727
0.6,1,Rocket-LSTM,Adaptive KnockoffNets,13,0.2930374904361132,0.9977272727272727
0.6,1,Rocket-LSTM,Probabilistic CopycatCNN,66,0.08213716108452951,0.9977272727272727
0.6,1,Rocket-LSTM,Argmax CopycatCNN,66,0.22727272727272727,0.9977272727272727
0.6,1,Rocket-LSTM,Adaptive KnockoffNets,66,0.17304625199362042,0.9977272727272727
0.6,1,Rocket-LSTM,Probabilistic CopycatCNN,132,0.44276094276094274,0.9977272727272727
0.6,1,Rocket-LSTM,Argmax CopycatCNN,132,0.6237373737373737,0.9977272727272727
0.6,1,Rocket-LSTM,Adaptive KnockoffNets,132,0.6590909090909091,0.9977272727272727
0.6,1,Rocket-LSTM,Probabilistic CopycatCNN,198,0.7566844919786097,0.9977272727272727
0.6,1,Rocket-LSTM,Argmax CopycatCNN,198,0.7237076648841355,0.9977272727272727
0.6,1,Rocket-LSTM,Adaptive KnockoffNets,198,0.7174688057040999,0.9977272727272727
0.6,1,Rocket-LSTM,Probabilistic CopycatCNN,264,0.8295454545454546,0.9977272727272727
0.6,1,Rocket-LSTM,Argmax CopycatCNN,264,0.8323863636363636,0.9977272727272727
0.6,1,Rocket-LSTM,Adaptive KnockoffNets,264,0.4895833333333333,0.9977272727272727
0.6,1,Rocket-LSTM,Probabilistic CopycatCNN,330,0.8181818181818182,0.9977272727272727
