Defence,Noise Level,Iteration,Model Pairing,Method Name,Real Samples,Generated Samples,Noised Samples,Stolen Model Accuracy,Original Model Accuracy,Protected Model Accuracy
ClassLabels,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,4,3,3,0.16818181818181818,0.9962121212121212,0.9962121212121212
ClassLabels,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,4,3,3,0.11287878787878788,0.9962121212121212,0.9962121212121212
ClassLabels,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,4,3,3,0.21136363636363636,0.9962121212121212,0.9962121212121212
ClassLabels,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,4,3,3,0.12954545454545455,0.9962121212121212,0.9962121212121212
ClassLabels,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,4,3,3,0.09848484848484848,0.9962121212121212,0.9962121212121212
ClassLabels,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,4,3,3,0.20075757575757575,0.9962121212121212,0.9962121212121212
ClassLabels,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,5,4,4,0.10909090909090909,0.9962121212121212,0.9962121212121212
ClassLabels,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,5,4,4,0.23257575757575757,0.9962121212121212,0.9962121212121212
ClassLabels,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,5,4,4,0.16666666666666666,0.9962121212121212,0.9962121212121212
ClassLabels,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,24,21,21,0.07954545454545454,0.9962121212121212,0.9962121212121212
ClassLabels,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,24,21,21,0.07954545454545454,0.9962121212121212,0.9962121212121212
ClassLabels,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,24,21,21,0.18409090909090908,0.9962121212121212,0.9962121212121212
ClassLabels,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,46,43,43,0.4583333333333333,0.9962121212121212,0.9962121212121212
ClassLabels,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,46,43,43,0.46136363636363636,0.9962121212121212,0.9962121212121212
ClassLabels,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,46,43,43,0.09545454545454546,0.9962121212121212,0.9962121212121212
ClassLabels,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,68,65,65,0.4628787878787879,0.9962121212121212,0.9962121212121212
