Defence,Noise Level,Iteration,Model Pairing,Method Name,Real Samples,Generated Samples,Noised Samples,Stolen Model Accuracy,Original Model Accuracy,Protected Model Accuracy
HighConfidence,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,4,3,3,0.16818181818181818,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,4,3,3,0.11287878787878788,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,4,3,3,0.21136363636363636,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,4,3,3,0.12954545454545455,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,4,3,3,0.09848484848484848,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,4,3,3,0.20075757575757575,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,5,4,4,0.10909090909090909,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,5,4,4,0.23257575757575757,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,5,4,4,0.16666666666666666,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,24,21,21,0.07954545454545454,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,24,21,21,0.11212121212121212,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,24,21,21,0.18409090909090908,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,46,43,43,0.2787878787878788,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,46,43,43,0.49772727272727274,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,46,43,43,0.14242424242424243,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,68,65,65,0.3106060606060606,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,68,65,65,0.6,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,68,65,65,0.5712121212121212,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,90,87,87,0.6257575757575757,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,90,87,87,0.6015151515151516,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,90,87,87,0.27575757575757576,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,114,108,108,0.6121212121212121,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,114,108,108,0.6174242424242424,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,114,108,108,0.5204545454545455,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,136,130,130,0.7537878787878788,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,136,130,130,0.8,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,136,130,130,0.5068181818181818,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,157,152,152,0.8378787878787879,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,157,152,152,0.8575757575757575,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,157,152,152,0.44166666666666665,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,180,174,174,0.8643939393939394,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,180,174,174,0.8803030303030303,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,180,174,174,0.8712121212121212,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,202,196,196,0.8962121212121212,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,202,196,196,0.9075757575757576,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,202,196,196,0.875,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,226,217,217,0.8356060606060606,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,226,217,217,0.9143939393939394,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,226,217,217,0.8734848484848485,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,4,3,3,0.1340909090909091,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,4,3,3,0.09848484848484848,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,4,3,3,0.18636363636363637,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,4,3,3,0.17045454545454544,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,4,3,3,0.23106060606060605,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,4,3,3,0.18181818181818182,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,5,4,4,0.25227272727272726,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,5,4,4,0.2878787878787879,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,5,4,4,0.19242424242424241,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,24,21,21,0.2734848484848485,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,24,21,21,0.45606060606060606,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,24,21,21,0.5295454545454545,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,46,43,43,0.6901515151515152,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,46,43,43,0.7424242424242424,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,46,43,43,0.746969696969697,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,68,65,65,0.7712121212121212,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,68,65,65,0.8045454545454546,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,68,65,65,0.675,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,90,87,87,0.8386363636363636,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,90,87,87,0.8363636363636363,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,90,87,87,0.8265151515151515,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,114,108,108,0.8909090909090909,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,114,108,108,0.8848484848484849,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,114,108,108,0.8613636363636363,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,136,130,130,0.8886363636363637,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,136,130,130,0.8946969696969697,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,136,130,130,0.8772727272727273,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,157,152,152,0.8977272727272727,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,157,152,152,0.906060606060606,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,157,152,152,0.8734848484848485,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,180,174,174,0.9166666666666666,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,180,174,174,0.9242424242424242,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,180,174,174,0.85,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,202,196,196,0.9242424242424242,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,202,196,196,0.9227272727272727,0.9962121212121212,0.9962121212121212
HighConfidence,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,202,196,196,0.8992424242424243,0.9962121212121212,0.9962121212121212
