Defence,Noise Level,Iteration,Model Pairing,Method Name,Real Samples,Generated Samples,Noised Samples,Stolen Model Accuracy,Original Model Accuracy,Protected Model Accuracy
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,4,3,3,0.051515151515151514,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,4,3,3,0.11287878787878788,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,4,3,3,0.11287878787878788,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,4,3,3,0.07954545454545454,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,4,3,3,0.11287878787878788,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,4,3,3,0.11287878787878788,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,5,4,4,0.0946969696969697,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,5,4,4,0.11287878787878788,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,5,4,4,0.11287878787878788,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,24,21,21,0.0946969696969697,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,24,21,21,0.11287878787878788,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,24,21,21,0.11287878787878788,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,46,43,43,0.07954545454545454,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,46,43,43,0.11287878787878788,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,46,43,43,0.11287878787878788,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,68,65,65,0.09924242424242424,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,68,65,65,0.11287878787878788,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,68,65,65,0.020454545454545454,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,90,87,87,0.05606060606060606,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,90,87,87,0.11287878787878788,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,90,87,87,0.026515151515151516,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,114,108,108,0.03409090909090909,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,114,108,108,0.11287878787878788,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,114,108,108,0.11287878787878788,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,136,130,130,0.006818181818181818,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,136,130,130,0.11287878787878788,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,136,130,130,0.03333333333333333,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,157,152,152,0.0030303030303030303,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,157,152,152,0.11212121212121212,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,157,152,152,0.03333333333333333,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,180,174,174,0.006060606060606061,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,180,174,174,0.11287878787878788,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,180,174,174,0.02196969696969697,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,202,196,196,0.0015151515151515152,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,202,196,196,0.11287878787878788,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,202,196,196,0.11212121212121212,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,226,217,217,0.0015151515151515152,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,226,217,217,0.11287878787878788,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,226,217,217,0.11287878787878788,0.9962121212121212,0.0
ReverseSigmoid,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,4,3,3,0.023484848484848483,0.9962121212121212,0.0015151515151515152
ReverseSigmoid,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,4,3,3,0.11287878787878788,0.9962121212121212,0.0015151515151515152
ReverseSigmoid,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,4,3,3,0.11287878787878788,0.9962121212121212,0.0015151515151515152
ReverseSigmoid,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,4,3,3,0.058333333333333334,0.9962121212121212,0.0015151515151515152
