Defence,Noise Level,Iteration,Model Pairing,Method Name,Real Samples,Generated Samples,Noised Samples,Stolen Model Accuracy,Original Model Accuracy,Protected Model Accuracy
FeatureSqueezing,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,4,3,3,0.16818181818181818,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,4,3,3,0.11287878787878788,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,4,3,3,0.21136363636363636,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,4,3,3,0.12954545454545455,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,4,3,3,0.09848484848484848,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,4,3,3,0.20075757575757575,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,5,4,4,0.10909090909090909,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,5,4,4,0.23257575757575757,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,5,4,4,0.16666666666666666,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,24,21,21,0.07954545454545454,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,24,21,21,0.11212121212121212,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,24,21,21,0.18409090909090908,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,46,43,43,0.2765151515151515,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,46,43,43,0.30757575757575756,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,46,43,43,0.20757575757575758,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,68,65,65,0.47575757575757577,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,68,65,65,0.7106060606060606,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,68,65,65,0.2590909090909091,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,90,87,87,0.6257575757575757,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,90,87,87,0.7621212121212121,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,90,87,87,0.7068181818181818,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,114,108,108,0.821969696969697,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,114,108,108,0.818939393939394,0.9962121212121212,0.9962121212121212
