Percentage Generated Data,Iteration,Model Pairing,Method Name,Num Samples,Accuracy,Original Model Accuracy
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,10,0.1946969696969697,0.9962121212121212
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,10,0.10909090909090909,0.9962121212121212
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,10,0.17803030303030304,0.9962121212121212
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,10,0.10909090909090909,0.9962121212121212
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,10,0.10909090909090909,0.9962121212121212
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,10,0.07954545454545454,0.9962121212121212
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,13,0.11060606060606061,0.9962121212121212
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,13,0.10909090909090909,0.9962121212121212
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,13,0.10909090909090909,0.9962121212121212
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,66,0.10909090909090909,0.9962121212121212
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,66,0.19696969696969696,0.9962121212121212
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,66,0.3068181818181818,0.9962121212121212
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,132,0.3,0.9962121212121212
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,132,0.29848484848484846,0.9962121212121212
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,132,0.16590909090909092,0.9962121212121212
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,198,0.35075757575757577,0.9962121212121212
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,198,0.3325757575757576,0.9962121212121212
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,198,0.3386363636363636,0.9962121212121212
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,264,0.35378787878787876,0.9962121212121212
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,264,0.3333333333333333,0.9962121212121212
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,264,0.31212121212121213,0.9962121212121212
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,330,0.40984848484848485,0.9962121212121212
