Iteration,Defence,Model Pairing,Method Name,Stealing Dataset Size,Stolen Model Accuracy,Original Model Accuracy,Protected Model Accuracy
1,GaussianNoise,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),7,0.3855656697009103,0.9242718446601942,0.9242718446601942
1,GaussianNoise,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),7,0.40052015604681407,0.9242718446601942,0.9242718446601942
1,GaussianNoise,MultiRocket-LSTM,KnockoffNets (vs. Protected),7,0.29453836150845253,0.9242718446601942,0.9242718446601942
1,GaussianNoise,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),15,0.4869281045751634,0.9242718446601942,0.9242718446601942
1,GaussianNoise,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),15,0.49869281045751634,0.9242718446601942,0.9242718446601942
1,GaussianNoise,MultiRocket-LSTM,KnockoffNets (vs. Protected),15,0.29869281045751633,0.9242718446601942,0.9242718446601942
1,GaussianNoise,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),77,0.5592643051771117,0.9242718446601942,0.9242718446601942
1,GaussianNoise,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),77,0.603542234332425,0.9242718446601942,0.9242718446601942
1,GaussianNoise,MultiRocket-LSTM,KnockoffNets (vs. Protected),77,0.6178474114441417,0.9242718446601942,0.9242718446601942
1,GaussianNoise,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),154,0.6455787203450755,0.9242718446601942,0.9242718446601942
1,GaussianNoise,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),154,0.6707404744787923,0.9242718446601942,0.9242718446601942
1,GaussianNoise,MultiRocket-LSTM,KnockoffNets (vs. Protected),154,0.6283249460819554,0.9242718446601942,0.9242718446601942
1,GaussianNoise,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),231,0.7138508371385084,0.9242718446601942,0.9242718446601942
1,GaussianNoise,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),231,0.7191780821917808,0.9242718446601942,0.9242718446601942
1,GaussianNoise,MultiRocket-LSTM,KnockoffNets (vs. Protected),231,0.69558599695586,0.9242718446601942,0.9242718446601942
1,GaussianNoise,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),309,0.7427184466019418,0.9242718446601942,0.9242718446601942
1,GaussianNoise,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),309,0.7071197411003236,0.9242718446601942,0.9242718446601942
1,GaussianNoise,MultiRocket-LSTM,KnockoffNets (vs. Protected),309,0.5631067961165048,0.9242718446601942,0.9242718446601942
1,GaussianNoise,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),386,0.3899913718723037,0.9242718446601942,0.9242718446601942
1,GaussianNoise,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),386,0.6954270923209663,0.9242718446601942,0.9242718446601942
1,GaussianNoise,MultiRocket-LSTM,KnockoffNets (vs. Protected),386,0.38481449525452976,0.9242718446601942,0.9242718446601942
1,GaussianNoise,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),463,0.7837338262476895,0.9242718446601942,0.9242718446601942
1,GaussianNoise,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),463,0.7837338262476895,0.9242718446601942,0.9242718446601942
1,GaussianNoise,MultiRocket-LSTM,KnockoffNets (vs. Protected),463,0.7744916820702403,0.9242718446601942,0.9242718446601942
1,GaussianNoise,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),540,0.8388059701492537,0.9242718446601942,0.9242718446601942
1,GaussianNoise,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),540,0.83681592039801,0.9242718446601942,0.9242718446601942
1,GaussianNoise,MultiRocket-LSTM,KnockoffNets (vs. Protected),540,0.8258706467661692,0.9242718446601942,0.9242718446601942
1,GaussianNoise,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),618,0.8770226537216829,0.9242718446601942,0.9242718446601942
1,GaussianNoise,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),618,0.8673139158576052,0.9242718446601942,0.9242718446601942
1,GaussianNoise,MultiRocket-LSTM,KnockoffNets (vs. Protected),618,0.8317152103559871,0.9242718446601942,0.9242718446601942
