Iteration,Defence,Model Pairing,Method Name,Stealing Dataset Size,Stolen Model Accuracy,Original Model Accuracy,Protected Model Accuracy
1,ReverseSigmoid,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),7,0.3920676202860858,0.9242718446601942,0.9242718446601942
1,ReverseSigmoid,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),7,0.3842652795838752,0.9242718446601942,0.9242718446601942
1,ReverseSigmoid,MultiRocket-LSTM,KnockoffNets (vs. Protected),7,0.37256176853055917,0.9242718446601942,0.9242718446601942
1,ReverseSigmoid,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),15,0.35490196078431374,0.9242718446601942,0.9242718446601942
1,ReverseSigmoid,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),15,0.3405228758169935,0.9242718446601942,0.9242718446601942
1,ReverseSigmoid,MultiRocket-LSTM,KnockoffNets (vs. Protected),15,0.14248366013071895,0.9242718446601942,0.9242718446601942
1,ReverseSigmoid,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),77,0.4884196185286104,0.9242718446601942,0.9242718446601942
1,ReverseSigmoid,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),77,0.4993188010899183,0.9242718446601942,0.9242718446601942
1,ReverseSigmoid,MultiRocket-LSTM,KnockoffNets (vs. Protected),77,0.4598092643051771,0.9242718446601942,0.9242718446601942
1,ReverseSigmoid,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),154,0.5851905104241553,0.9242718446601942,0.9242718446601942
1,ReverseSigmoid,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),154,0.6412652767792955,0.9242718446601942,0.9242718446601942
1,ReverseSigmoid,MultiRocket-LSTM,KnockoffNets (vs. Protected),154,0.35226455787203453,0.9242718446601942,0.9242718446601942
1,ReverseSigmoid,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),231,0.7245053272450532,0.9242718446601942,0.9242718446601942
1,ReverseSigmoid,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),231,0.7168949771689498,0.9242718446601942,0.9242718446601942
1,ReverseSigmoid,MultiRocket-LSTM,KnockoffNets (vs. Protected),231,0.3622526636225266,0.9242718446601942,0.9242718446601942
