Percentage Generated Data,Iteration,Model Pairing,Method Name,Num Real Samples,Num Generated Samples,Accuracy,Original Model Accuracy
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,1,0,0.14110032362459546,0.8233009708737864
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,1,0,0.18122977346278318,0.8233009708737864
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,1,0,0.18122977346278318,0.8233009708737864
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,7,0,0.29579288025889966,0.8233009708737864
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,7,0,0.2970873786407767,0.8233009708737864
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,7,0,0.29579288025889966,0.8233009708737864
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,14,1,0.3339805825242718,0.8233009708737864
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,14,1,0.34951456310679613,0.8233009708737864
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,14,1,0.1423948220064725,0.8233009708737864
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,70,7,0.170873786407767,0.8233009708737864
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,70,7,0.31779935275080906,0.8233009708737864
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,70,7,0.4906148867313916,0.8233009708737864
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,139,15,0.4381877022653722,0.8233009708737864
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,139,15,0.4621359223300971,0.8233009708737864
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,139,15,0.23300970873786409,0.8233009708737864
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,208,23,0.515210355987055,0.8233009708737864
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,208,23,0.5462783171521035,0.8233009708737864
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,208,23,0.46537216828478967,0.8233009708737864
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,279,30,0.5216828478964401,0.8233009708737864
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,279,30,0.5637540453074433,0.8233009708737864
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,279,30,0.4679611650485437,0.8233009708737864
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,348,38,0.2828478964401295,0.8233009708737864
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,348,38,0.5935275080906149,0.8233009708737864
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,348,38,0.3611650485436893,0.8233009708737864
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,417,46,0.6660194174757281,0.8233009708737864
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,417,46,0.7300970873786408,0.8233009708737864
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,417,46,0.7948220064724919,0.8233009708737864
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,486,54,0.7734627831715211,0.8233009708737864
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,486,54,0.7669902912621359,0.8233009708737864
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,486,54,0.4381877022653722,0.8233009708737864
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,557,61,0.7566343042071197,0.8233009708737864
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,557,61,0.7779935275080906,0.8233009708737864
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,557,61,0.7766990291262136,0.8233009708737864
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,626,69,0.7799352750809061,0.8233009708737864
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,626,69,0.7857605177993527,0.8233009708737864
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,626,69,0.7760517799352751,0.8233009708737864
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,695,77,0.8045307443365696,0.8233009708737864
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,695,77,0.7792880258899676,0.8233009708737864
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,695,77,0.5307443365695793,0.8233009708737864
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,1,0,0.18122977346278318,0.9294498381877022
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,1,0,0.14110032362459546,0.9294498381877022
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,1,0,0.170873786407767,0.9294498381877022
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,7,0,0.37605177993527505,0.9294498381877022
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,7,0,0.40323624595469254,0.9294498381877022
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,7,0,0.40129449838187703,0.9294498381877022
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,14,1,0.4621359223300971,0.9294498381877022
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,14,1,0.459546925566343,0.9294498381877022
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,14,1,0.44724919093851134,0.9294498381877022
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,70,7,0.4511326860841424,0.9294498381877022
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,70,7,0.4511326860841424,0.9294498381877022
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,70,7,0.4925566343042071,0.9294498381877022
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,139,15,0.5236245954692557,0.9294498381877022
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,139,15,0.5741100323624595,0.9294498381877022
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,139,15,0.35016181229773463,0.9294498381877022
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,208,23,0.5585760517799353,0.9294498381877022
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,208,23,0.713915857605178,0.9294498381877022
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,208,23,0.7106796116504854,0.9294498381877022
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,279,30,0.6601941747572816,0.9294498381877022
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,279,30,0.6750809061488673,0.9294498381877022
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,279,30,0.4906148867313916,0.9294498381877022
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,348,38,0.49320388349514566,0.9294498381877022
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,348,38,0.5294498381877023,0.9294498381877022
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,348,38,0.6330097087378641,0.9294498381877022
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,417,46,0.7326860841423948,0.9294498381877022
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,417,46,0.8148867313915857,0.9294498381877022
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,417,46,0.544336569579288,0.9294498381877022
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,486,54,0.8245954692556634,0.9294498381877022
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,486,54,0.8355987055016181,0.9294498381877022
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,486,54,0.8446601941747572,0.9294498381877022
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,557,61,0.8711974110032362,0.9294498381877022
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,557,61,0.8686084142394822,0.9294498381877022
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,557,61,0.8666666666666667,0.9294498381877022
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,626,69,0.8951456310679612,0.9294498381877022
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,626,69,0.8867313915857605,0.9294498381877022
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,626,69,0.8692556634304207,0.9294498381877022
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,695,77,0.9106796116504854,0.9294498381877022
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,695,77,0.9003236245954692,0.9294498381877022
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,695,77,0.8614886731391586,0.9294498381877022
0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,1,0,0.170873786407767,0.9029126213592233
0.1,1,Rocket-LSTM,Argmax CopycatCNN,1,0,0.14110032362459546,0.9029126213592233
0.1,1,Rocket-LSTM,Adaptive KnockoffNets,1,0,0.1831715210355987,0.9029126213592233
0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,7,0,0.2543689320388349,0.9029126213592233
0.1,1,Rocket-LSTM,Argmax CopycatCNN,7,0,0.3100323624595469,0.9029126213592233
0.1,1,Rocket-LSTM,Adaptive KnockoffNets,7,0,0.29579288025889966,0.9029126213592233
0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,14,1,0.32815533980582523,0.9029126213592233
0.1,1,Rocket-LSTM,Argmax CopycatCNN,14,1,0.343042071197411,0.9029126213592233
0.1,1,Rocket-LSTM,Adaptive KnockoffNets,14,1,0.3423948220064725,0.9029126213592233
0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,70,7,0.4886731391585761,0.9029126213592233
0.1,1,Rocket-LSTM,Argmax CopycatCNN,70,7,0.5055016181229773,0.9029126213592233
0.1,1,Rocket-LSTM,Adaptive KnockoffNets,70,7,0.37540453074433655,0.9029126213592233
0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,139,15,0.5268608414239482,0.9029126213592233
0.1,1,Rocket-LSTM,Argmax CopycatCNN,139,15,0.4919093851132686,0.9029126213592233
0.1,1,Rocket-LSTM,Adaptive KnockoffNets,139,15,0.3779935275080906,0.9029126213592233
0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,208,23,0.5637540453074433,0.9029126213592233
0.1,1,Rocket-LSTM,Argmax CopycatCNN,208,23,0.5896440129449838,0.9029126213592233
0.1,1,Rocket-LSTM,Adaptive KnockoffNets,208,23,0.41941747572815535,0.9029126213592233
0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,279,30,0.5352750809061488,0.9029126213592233
0.1,1,Rocket-LSTM,Argmax CopycatCNN,279,30,0.6420711974110033,0.9029126213592233
0.1,1,Rocket-LSTM,Adaptive KnockoffNets,279,30,0.6524271844660194,0.9029126213592233
0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,348,38,0.5132686084142395,0.9029126213592233
0.1,1,Rocket-LSTM,Argmax CopycatCNN,348,38,0.47766990291262135,0.9029126213592233
0.1,1,Rocket-LSTM,Adaptive KnockoffNets,348,38,0.6498381877022654,0.9029126213592233
0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,417,46,0.7695792880258899,0.9029126213592233
0.1,1,Rocket-LSTM,Argmax CopycatCNN,417,46,0.7896440129449838,0.9029126213592233
0.1,1,Rocket-LSTM,Adaptive KnockoffNets,417,46,0.7779935275080906,0.9029126213592233
0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,486,54,0.8051779935275081,0.9029126213592233
0.1,1,Rocket-LSTM,Argmax CopycatCNN,486,54,0.8103559870550162,0.9029126213592233
0.1,1,Rocket-LSTM,Adaptive KnockoffNets,486,54,0.7818770226537217,0.9029126213592233
0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,557,61,0.8614886731391586,0.9029126213592233
0.1,1,Rocket-LSTM,Argmax CopycatCNN,557,61,0.8440129449838187,0.9029126213592233
0.1,1,Rocket-LSTM,Adaptive KnockoffNets,557,61,0.8213592233009709,0.9029126213592233
0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,626,69,0.8647249190938512,0.9029126213592233
0.1,1,Rocket-LSTM,Argmax CopycatCNN,626,69,0.8433656957928802,0.9029126213592233
0.1,1,Rocket-LSTM,Adaptive KnockoffNets,626,69,0.8634304207119741,0.9029126213592233
0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,695,77,0.8822006472491909,0.9029126213592233
0.1,1,Rocket-LSTM,Argmax CopycatCNN,695,77,0.8116504854368932,0.9029126213592233
0.1,1,Rocket-LSTM,Adaptive KnockoffNets,695,77,0.5553398058252427,0.9029126213592233
0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,1,0,0.18122977346278318,0.8233009708737864
0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,1,0,0.14110032362459546,0.8233009708737864
0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,1,0,0.14110032362459546,0.8233009708737864
0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,7,0,0.2045307443365696,0.8233009708737864
0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,7,0,0.36310679611650487,0.8233009708737864
0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,7,0,0.3656957928802589,0.8233009708737864
0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,14,1,0.47637540453074434,0.8233009708737864
0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,14,1,0.5585760517799353,0.8233009708737864
0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,14,1,0.35210355987055014,0.8233009708737864
0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,70,7,0.5080906148867314,0.8233009708737864
0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,70,7,0.5877022653721683,0.8233009708737864
0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,70,7,0.3559870550161812,0.8233009708737864
0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,139,15,0.5190938511326861,0.8233009708737864
0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,139,15,0.5993527508090615,0.8233009708737864
0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,139,15,0.3016181229773463,0.8233009708737864
0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,208,23,0.573462783171521,0.8233009708737864
0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,208,23,0.5592233009708738,0.8233009708737864
0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,208,23,0.42588996763754045,0.8233009708737864
0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,279,30,0.6381877022653721,0.8233009708737864
0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,279,30,0.6524271844660194,0.8233009708737864
0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,279,30,0.6207119741100323,0.8233009708737864
0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,348,38,0.3773462783171521,0.8233009708737864
0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,348,38,0.6718446601941748,0.8233009708737864
0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,348,38,0.5702265372168285,0.8233009708737864
0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,417,46,0.7423948220064724,0.8233009708737864
0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,417,46,0.4906148867313916,0.8233009708737864
0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,417,46,0.7100323624595469,0.8233009708737864
0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,486,54,0.6796116504854369,0.8233009708737864
0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,486,54,0.7203883495145631,0.8233009708737864
0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,486,54,0.602588996763754,0.8233009708737864
0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,557,61,0.7553398058252427,0.8233009708737864
0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,557,61,0.7754045307443366,0.8233009708737864
0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,557,61,0.7197411003236246,0.8233009708737864
0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,626,69,0.7896440129449838,0.8233009708737864
0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,626,69,0.8155339805825242,0.8233009708737864
0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,626,69,0.8097087378640777,0.8233009708737864
0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,695,77,0.7831715210355987,0.8233009708737864
0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,695,77,0.4640776699029126,0.8233009708737864
0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,695,77,0.7514563106796116,0.8233009708737864
0.1,1,Hydra-LSTM,Probabilistic CopycatCNN,1,0,0.170873786407767,0.7236245954692556
0.1,1,Hydra-LSTM,Argmax CopycatCNN,1,0,0.1423948220064725,0.7236245954692556
0.1,1,Hydra-LSTM,Adaptive KnockoffNets,1,0,0.18122977346278318,0.7236245954692556
0.1,1,Hydra-LSTM,Probabilistic CopycatCNN,7,0,0.14110032362459546,0.7236245954692556
