Noise Level,Iteration,Model Pairing,Method Name,Stealing Dataset Size,Accuracy,Original Model Accuracy
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,7,0.18335500650195058,0.8233009708737864
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,7,0.18335500650195058,0.8233009708737864
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,7,0.18335500650195058,0.8233009708737864
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,15,0.1830065359477124,0.8233009708737864
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,15,0.1830065359477124,0.8233009708737864
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,15,0.1830065359477124,0.8233009708737864
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,77,0.1818801089918256,0.8233009708737864
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,77,0.1818801089918256,0.8233009708737864
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,77,0.1818801089918256,0.8233009708737864
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,154,0.18188353702372395,0.8233009708737864
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,154,0.18188353702372395,0.8233009708737864
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,154,0.18188353702372395,0.8233009708737864
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,231,0.17732115677321156,0.8233009708737864
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,231,0.17732115677321156,0.8233009708737864
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,231,0.17732115677321156,0.8233009708737864
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,309,0.18042071197411003,0.8233009708737864
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,309,0.18042071197411003,0.8233009708737864
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,309,0.18042071197411003,0.8233009708737864
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,386,0.18550474547023296,0.8233009708737864
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,386,0.18550474547023296,0.8233009708737864
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,386,0.18550474547023296,0.8233009708737864
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,463,0.18391866913123844,0.8233009708737864
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,463,0.18391866913123844,0.8233009708737864
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,463,0.18391866913123844,0.8233009708737864
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,540,0.19303482587064677,0.8233009708737864
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,540,0.19303482587064677,0.8233009708737864
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,540,0.19303482587064677,0.8233009708737864
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,618,0.18338727076591155,0.8233009708737864
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,618,0.18338727076591155,0.8233009708737864
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,618,0.18338727076591155,0.8233009708737864
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,695,0.18588235294117647,0.8233009708737864
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,695,0.18588235294117647,0.8233009708737864
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,695,0.18588235294117647,0.8233009708737864
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,772,0.18628719275549807,0.8233009708737864
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,772,0.18628719275549807,0.8233009708737864
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,772,0.18628719275549807,0.8233009708737864
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,7,0.17100130039011704,0.9294498381877022
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,7,0.17100130039011704,0.9294498381877022
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,7,0.17425227568270482,0.9294498381877022
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,15,0.17058823529411765,0.9294498381877022
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,15,0.17058823529411765,0.9294498381877022
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,15,0.31633986928104574,0.9294498381877022
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,77,0.3542234332425068,0.9294498381877022
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,77,0.3542234332425068,0.9294498381877022
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,77,0.3412806539509537,0.9294498381877022
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,154,0.3666427030913012,0.9294498381877022
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,154,0.3946800862688713,0.9294498381877022
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,154,0.36520488856937455,0.9294498381877022
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,231,0.3866057838660578,0.9294498381877022
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,231,0.3873668188736682,0.9294498381877022
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,231,0.3538812785388128,0.9294498381877022
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,309,0.3478964401294498,0.9294498381877022
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,309,0.3478964401294498,0.9294498381877022
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,309,0.39239482200647247,0.9294498381877022
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,386,0.3485763589301122,0.9294498381877022
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,386,0.3805004314063848,0.9294498381877022
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,386,0.3261432269197584,0.9294498381877022
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,463,0.3844731977818854,0.9294498381877022
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,463,0.39648798521256934,0.9294498381877022
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,463,0.3234750462107209,0.9294498381877022
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,540,0.36218905472636814,0.9294498381877022
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,540,0.36218905472636814,0.9294498381877022
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,540,0.42786069651741293,0.9294498381877022
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,618,0.40129449838187703,0.9294498381877022
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,618,0.47357065803667747,0.9294498381877022
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,618,0.3225458468176915,0.9294498381877022
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,695,0.5117647058823529,0.9294498381877022
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,695,0.5070588235294118,0.9294498381877022
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,695,0.32588235294117646,0.9294498381877022
