Defence,Noise Level,Iteration,Model Pairing,Method Name,Real Samples,Generated Samples,Noised Samples,Stolen Model Accuracy,Original Model Accuracy,Protected Model Accuracy
HighConfidence,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,4,1,1,0.284789644012945,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,4,1,1,0.28996763754045307,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,4,1,1,0.2634304207119741,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,3,2,2,0.37216828478964403,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,3,2,2,0.20711974110032363,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,3,2,2,0.16828478964401294,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,7,4,4,0.1656957928802589,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,7,4,4,0.17411003236245956,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,7,4,4,0.14110032362459546,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,27,25,25,0.14110032362459546,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,27,25,25,0.14110032362459546,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,27,25,25,0.14110032362459546,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,54,50,50,0.14110032362459546,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,54,50,50,0.14110032362459546,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,54,50,50,0.14110032362459546,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,79,76,76,0.14110032362459546,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,79,76,76,0.14110032362459546,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,79,76,76,0.14110032362459546,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,107,101,101,0.14110032362459546,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,107,101,101,0.14110032362459546,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,107,101,101,0.14110032362459546,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,132,127,127,0.14110032362459546,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,132,127,127,0.14110032362459546,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,132,127,127,0.14110032362459546,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,159,152,152,0.14110032362459546,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,159,152,152,0.14110032362459546,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,159,152,152,0.14110032362459546,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,184,178,178,0.14110032362459546,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,184,178,178,0.14110032362459546,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,184,178,178,0.14110032362459546,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,212,203,203,0.14110032362459546,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,212,203,203,0.14110032362459546,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,212,203,203,0.14110032362459546,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,237,229,229,0.14110032362459546,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,237,229,229,0.14110032362459546,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,237,229,229,0.14110032362459546,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,264,254,254,0.14110032362459546,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,264,254,254,0.14110032362459546,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,264,254,254,0.14110032362459546,0.7624595469255664,0.7624595469255664
HighConfidence,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,4,1,1,0.1831715210355987,0.9326860841423948,0.9326860841423948
HighConfidence,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,4,1,1,0.19093851132686085,0.9326860841423948,0.9326860841423948
HighConfidence,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,4,1,1,0.1831715210355987,0.9326860841423948,0.9326860841423948
HighConfidence,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,3,2,2,0.170873786407767,0.9326860841423948,0.9326860841423948
HighConfidence,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,3,2,2,0.2867313915857605,0.9326860841423948,0.9326860841423948
HighConfidence,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,3,2,2,0.170873786407767,0.9326860841423948,0.9326860841423948
HighConfidence,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,7,4,4,0.170873786407767,0.9326860841423948,0.9326860841423948
HighConfidence,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,7,4,4,0.170873786407767,0.9326860841423948,0.9326860841423948
HighConfidence,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,7,4,4,0.170873786407767,0.9326860841423948,0.9326860841423948
HighConfidence,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,27,25,25,0.170873786407767,0.9326860841423948,0.9326860841423948
HighConfidence,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,27,25,25,0.170873786407767,0.9326860841423948,0.9326860841423948
HighConfidence,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,27,25,25,0.170873786407767,0.9326860841423948,0.9326860841423948
HighConfidence,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,54,50,50,0.170873786407767,0.9326860841423948,0.9326860841423948
HighConfidence,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,54,50,50,0.170873786407767,0.9326860841423948,0.9326860841423948
HighConfidence,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,54,50,50,0.170873786407767,0.9326860841423948,0.9326860841423948
HighConfidence,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,79,76,76,0.170873786407767,0.9326860841423948,0.9326860841423948
HighConfidence,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,79,76,76,0.170873786407767,0.9326860841423948,0.9326860841423948
HighConfidence,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,79,76,76,0.170873786407767,0.9326860841423948,0.9326860841423948
HighConfidence,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,107,101,101,0.170873786407767,0.9326860841423948,0.9326860841423948
HighConfidence,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,107,101,101,0.35210355987055014,0.9326860841423948,0.9326860841423948
HighConfidence,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,107,101,101,0.32233009708737864,0.9326860841423948,0.9326860841423948
HighConfidence,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,132,127,127,0.3378640776699029,0.9326860841423948,0.9326860841423948
HighConfidence,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,132,127,127,0.35210355987055014,0.9326860841423948,0.9326860841423948
HighConfidence,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,132,127,127,0.170873786407767,0.9326860841423948,0.9326860841423948
HighConfidence,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,159,152,152,0.170873786407767,0.9326860841423948,0.9326860841423948
HighConfidence,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,159,152,152,0.170873786407767,0.9326860841423948,0.9326860841423948
HighConfidence,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,159,152,152,0.170873786407767,0.9326860841423948,0.9326860841423948
HighConfidence,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,184,178,178,0.170873786407767,0.9326860841423948,0.9326860841423948
