Percentage Generated Data,Iteration,Model Pairing,Method Name,Num Samples,Accuracy,Original Model Accuracy
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,6,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,6,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,6,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,7,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,7,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,7,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,15,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,15,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,15,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,77,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,77,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,77,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,154,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,154,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,154,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,231,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,231,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,231,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,309,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,309,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,309,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,386,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,386,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,386,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,463,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,463,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,463,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,540,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,540,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,540,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,618,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,618,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,618,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,695,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,695,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,695,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,772,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,772,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,772,0.1831715210355987,0.8233009708737864
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,6,0.1831715210355987,0.9294498381877022
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,6,0.3644012944983819,0.9294498381877022
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,6,0.3618122977346278,0.9294498381877022
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,7,0.26472491909385115,0.9294498381877022
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,7,0.34110032362459547,0.9294498381877022
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,7,0.3482200647249191,0.9294498381877022
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,15,0.3482200647249191,0.9294498381877022
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,15,0.35145631067961164,0.9294498381877022
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,15,0.3488673139158576,0.9294498381877022
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,77,0.3488673139158576,0.9294498381877022
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,77,0.3488673139158576,0.9294498381877022
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,77,0.3482200647249191,0.9294498381877022
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,154,0.34757281553398056,0.9294498381877022
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,154,0.34757281553398056,0.9294498381877022
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,154,0.42135922330097086,0.9294498381877022
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,231,0.43106796116504853,0.9294498381877022
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,231,0.4368932038834951,0.9294498381877022
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,231,0.44336569579288027,0.9294498381877022
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,309,0.39611650485436894,0.9294498381877022
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,309,0.4362459546925566,0.9294498381877022
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,309,0.3423948220064725,0.9294498381877022
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,386,0.3339805825242718,0.9294498381877022
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,386,0.34563106796116505,0.9294498381877022
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,386,0.3313915857605178,0.9294498381877022
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,463,0.4297734627831715,0.9294498381877022
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,463,0.4414239482200647,0.9294498381877022
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,463,0.341747572815534,0.9294498381877022
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,540,0.4284789644012945,0.9294498381877022
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,540,0.429126213592233,0.9294498381877022
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,540,0.3359223300970874,0.9294498381877022
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,618,0.4,0.9294498381877022
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,618,0.4006472491909385,0.9294498381877022
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,618,0.36310679611650487,0.9294498381877022
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,695,0.3864077669902913,0.9294498381877022
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,695,0.47055016181229775,0.9294498381877022
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,695,0.44789644012944985,0.9294498381877022
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,772,0.4084142394822006,0.9294498381877022
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,772,0.33915857605177996,0.9294498381877022
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,772,0.4336569579288026,0.9294498381877022
0.3,1,Rocket-LSTM,Probabilistic CopycatCNN,6,0.18964401294498381,0.9029126213592233
0.3,1,Rocket-LSTM,Argmax CopycatCNN,6,0.18964401294498381,0.9029126213592233
0.3,1,Rocket-LSTM,Adaptive KnockoffNets,6,0.19223300970873786,0.9029126213592233
0.3,1,Rocket-LSTM,Probabilistic CopycatCNN,7,0.1928802588996764,0.9029126213592233
0.3,1,Rocket-LSTM,Argmax CopycatCNN,7,0.18705501618122977,0.9029126213592233
0.3,1,Rocket-LSTM,Adaptive KnockoffNets,7,0.3333333333333333,0.9029126213592233
0.3,1,Rocket-LSTM,Probabilistic CopycatCNN,15,0.34692556634304206,0.9029126213592233
0.3,1,Rocket-LSTM,Argmax CopycatCNN,15,0.341747572815534,0.9029126213592233
0.3,1,Rocket-LSTM,Adaptive KnockoffNets,15,0.341747572815534,0.9029126213592233
0.3,1,Rocket-LSTM,Probabilistic CopycatCNN,77,0.3553398058252427,0.9029126213592233
0.3,1,Rocket-LSTM,Argmax CopycatCNN,77,0.34433656957928804,0.9029126213592233
0.3,1,Rocket-LSTM,Adaptive KnockoffNets,77,0.3572815533980582,0.9029126213592233
0.3,1,Rocket-LSTM,Probabilistic CopycatCNN,154,0.35145631067961164,0.9029126213592233
0.3,1,Rocket-LSTM,Argmax CopycatCNN,154,0.35016181229773463,0.9029126213592233
0.3,1,Rocket-LSTM,Adaptive KnockoffNets,154,0.3566343042071197,0.9029126213592233
0.3,1,Rocket-LSTM,Probabilistic CopycatCNN,231,0.3482200647249191,0.9029126213592233
0.3,1,Rocket-LSTM,Argmax CopycatCNN,231,0.3262135922330097,0.9029126213592233
0.3,1,Rocket-LSTM,Adaptive KnockoffNets,231,0.3533980582524272,0.9029126213592233
0.3,1,Rocket-LSTM,Probabilistic CopycatCNN,309,0.343042071197411,0.9029126213592233
0.3,1,Rocket-LSTM,Argmax CopycatCNN,309,0.3592233009708738,0.9029126213592233
0.3,1,Rocket-LSTM,Adaptive KnockoffNets,309,0.3566343042071197,0.9029126213592233
0.3,1,Rocket-LSTM,Probabilistic CopycatCNN,386,0.3663430420711974,0.9029126213592233
0.3,1,Rocket-LSTM,Argmax CopycatCNN,386,0.38058252427184464,0.9029126213592233
0.3,1,Rocket-LSTM,Adaptive KnockoffNets,386,0.3566343042071197,0.9029126213592233
0.3,1,Rocket-LSTM,Probabilistic CopycatCNN,463,0.37346278317152104,0.9029126213592233
0.3,1,Rocket-LSTM,Argmax CopycatCNN,463,0.3559870550161812,0.9029126213592233
0.3,1,Rocket-LSTM,Adaptive KnockoffNets,463,0.3559870550161812,0.9029126213592233
0.3,1,Rocket-LSTM,Probabilistic CopycatCNN,540,0.3553398058252427,0.9029126213592233
0.3,1,Rocket-LSTM,Argmax CopycatCNN,540,0.35145631067961164,0.9029126213592233
0.3,1,Rocket-LSTM,Adaptive KnockoffNets,540,0.3359223300970874,0.9029126213592233
0.3,1,Rocket-LSTM,Probabilistic CopycatCNN,618,0.3423948220064725,0.9029126213592233
0.3,1,Rocket-LSTM,Argmax CopycatCNN,618,0.3546925566343042,0.9029126213592233
